页面key	页面名称	数据集key	PostgreSQL宽表	只读接口	数据内容	读取状态	源端已探测时间范围	当前有效读取范围	时间字段/口径	备注
bf2_bin	2#高炉料仓维护管理	bf2_bin_list_page_data	bf_imes.imes_bf2_bin_list_page_data	mes/ipes/pesBin/listPageData.do	料仓基础维护信息	可读	创建时间约2024-04-28，更新时间至2024-08-08	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期；静态配置按同步日记录	createTimes/updateTimes仅作元数据，不作为历史业务读取下限	静态维表，程序只读保留当前有效配置
bf2_bin_material	2#高炉料仓变料管理	bf2_bin_material_list_page_data	bf_imes.imes_bf2_bin_material_list_page_data	mes/ipes/pesBinMaterial/listPageData.do	料仓当前物料配置	可读	约2024-08-05至2026-04-29	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	businessDate	早于有效下限的数据不再写入
bf2_bin_material	2#高炉料仓变料管理	bf2_bin_material_list_page_fdata	bf_imes.imes_bf2_bin_material_list_page_fdata	mes/ipes/pesBinMaterial/listPageFData.do	料仓变料历史/明细	可读	约2024-08-05至2026-04-28	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	businessDate	早于有效下限的数据不再写入
bf2_plan_month	2#高炉生产计划管理	bf2_plan_month_list_day_data	bf_imes.imes_bf2_plan_month_list_day_data	mes/cpes/productionPlanMonth/listDayData.do	生产日计划明细	接口可读，当前默认条件无数据	未完整探明	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	planDate/designDate	需要页面选择月计划后才可能返回明细
bf2_plan_month	2#高炉生产计划管理	bf2_plan_month_list_month_data	bf_imes.imes_bf2_plan_month_list_month_data	mes/cpes/productionPlanMonth/listMonthData.do	生产月计划	可读	约2025-02至2025-08	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	planMonth	当前有效范围内未确认有新月计划行
bf2_dosing_scheme	2#高炉配料方案	bf2_dosing_scheme_list_page_data	bf_imes.imes_bf2_dosing_scheme_list_page_data	mes/ipes/dosingScheme/listPageData.do	配料方案主表	可读	约2024-05-13至2026-04-29	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	businessDate	早于有效下限的数据不再写入
bf2_dosing_scheme	2#高炉配料方案	bf2_dosing_scheme_list_page_detail_data	bf_imes.imes_bf2_dosing_scheme_list_page_detail_data	mes/ipes/dosingScheme/listPageDetailData.do	配料方案明细	接口可读，需主表方案ID	未完整探明	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	businessDate/主表方案日期	默认条件可能为空，后续可按schemeNo补采
bf2_input	2#高炉原料投入管理	bf2_input_list_insp_data	bf_imes.imes_bf2_input_list_insp_data	mes/ipes/input/listInspData.do	原料投入相关化验/检验信息	接口可读，当前默认条件无数据	未完整探明	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	workDate/业务日期	需要页面选择记录后才可能返回
bf2_input	2#高炉原料投入管理	bf2_input_list_mate_coef_data	bf_imes.imes_bf2_input_list_mate_coef_data	mes/ipes/input/listMateCoefData.do	原料投入系数	接口可读，当前默认条件无数据	未完整探明	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	workDate/业务日期	需要页面选择记录后才可能返回
bf2_input	2#高炉原料投入管理	bf2_input_list_mate_coef_plan_data	bf_imes.imes_bf2_input_list_mate_coef_plan_data	mes/ipes/input/listMateCoefPlanData.do	原料投入计划系数	接口可读，当前默认条件无数据	未完整探明	与GL02 PostgreSQL一致：2026-02-08至当前最新传感器日期	workDate/业务日期	需要页面选择记录后才可能返回
